Name,Birthplace,Death Place,Birth Year,Death Year,B_Lat,B_Lon,B_State,D_Lat,D_Lon,D_State
Dagh Dehlvi,Delhi,Hyderabad,1831,1905,28.7040592,77.10249019999999,Delhi,17.385044,78.486671,Telangana
Altaf Hussain Hali,Panipat,Panipat,1837,1914,29.3909464,76.9635023,Haryana,29.3909464,76.9635023,Haryana
Akbar Allahabadi,"Bara, Allahabad",Allahabad,1846,1921,25.0356171,82.1373629,Uttar Pradesh,25.4358011,81.846311,Uttar Pradesh
Ahmed Raza Khan Barelvi,Bareilly,Bareilly,1856,1921,28.3670355,79.4304381,Uttar Pradesh,28.3670355,79.4304381,Uttar Pradesh
Bekhud Badayuni,Badayun,Badayun,1857,1912,28.0311101,79.1271229,Uttar Pradesh,28.0311101,79.1271229,Uttar Pradesh
Shibli Nomani,Azamgarh,Azamgrah,1857,1914,26.0739138,83.18594949999999,Uttar Pradesh,26.0739138,83.18594949999999,Uttar Pradesh
Hassan Raza Khan,Bareilly,Bareilly,1859,1908,28.3670355,79.4304381,Uttar Pradesh,28.3670355,79.4304381,Uttar Pradesh
Bekhud Dehlvi,Bharatpur,Delhi,1863,1955,27.2151863,77.5029996,Rajasthan,28.7040592,77.10249019999999,Delhi
Maharaja Sir Kishen Pershad,Hyderabad,Hyderabad,1864,1940,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Muztar Khairabadi,"Khairabad, Sitapur",Gwalior,1865,1927,27.5284275,80.7491563,Uttar Pradesh,26.2124007,78.1772053,Madhya Pradesh
Brij Mohan Dattatreya Kaifi,Delhi,"Ghaziabad, Uttar Pradesh",1866,1955,28.7040592,77.10249019999999,Delhi,28.6691565,77.45375779999999,Uttar Pradesh
Alam,Kanaighat,Kanaighat,1868,1937,25.0088198,92.25565429999999,Sylhet Division,25.0088198,92.25565429999999,Sylhet Division
Tashna,Kanaighat,Kanaighat,1872,1931,25.0088198,92.25565429999999,Sylhet Division,25.0088198,92.25565429999999,Sylhet Division
Zafar Ali Khan,Sialkot,Wazirabad,1874,1956,32.4944991,74.5228916,Punjab,28.7310061,77.2233167,Delhi
Hasrat Mohani,"Mohan, Uttar Pradesh",Lucknow,1875,1951,26.7790194,80.675692,Uttar Pradesh,26.8466937,80.94616599999999,Uttar Pradesh
Dil Shahjahanpuri,Shahjahanpur,Shahjahanpur,1875,1959,27.8753399,79.9147268,Uttar Pradesh,27.8753399,79.9147268,Uttar Pradesh
Syed Ghulam Bhik Nairang,Ambala,Lahore,1876,1952,30.3752011,76.782122,Haryana,31.5203696,74.35874729999999,Punjab
Allama Muhammad Iqbal,Sialkot,Lahore,1877,1938,32.4944991,74.5228916,Punjab,31.5203696,74.35874729999999,Punjab
Mohammad Ali Jauhar,"Najibabad, Uttar Pradesh, Rampur",London,1878,1931,29.6123401,78.3441643,Uttar Pradesh,51.5072178,-0.1275862,England
Fani Badayuni,Badaun,"Hyderabad, Andhra Pradesh",1879,1961,28.0311101,79.1271229,Uttar Pradesh,17.385044,78.486671,Telangana
Seemab Akbarabadi,Agra,Karachi,1882,1951,27.1766701,78.00807449999999,Uttar Pradesh,24.8607343,67.0011364,Sindh
Brij Narayan Chakbast,Faizabad,Raebareli,1882,1926,26.7729751,82.1457934,Uttar Pradesh,26.2144806,81.25281389999999,Uttar Pradesh
Josh Malsiyani,Malsian,Unknown,1883,1976,31.1291515,75.3492342,Punjab,,,
Niaz Fatehpuri,Barabanki,Karachi,1884,1966,26.9268042,81.1833809,Uttar Pradesh,24.8607343,67.0011364,Sindh
Yagana Changezi,Patna,Lucknow,1884,1956,25.5940947,85.1375645,Bihar,26.8466937,80.94616599999999,Uttar Pradesh
Asghar Gondvi,"Gorakhpur, Uttar Pradesh","Allahabad, Uttar Pradesh",1884,1936,26.7605545,83.3731675,Uttar Pradesh,25.4358011,81.846311,Uttar Pradesh
Qamar Jalalvi,"Jalali, Uttar Pradesh",Karachi,1887,1968,27.86684,78.2518863,Uttar Pradesh,24.8607343,67.0011364,Sindh
Tilok Chand Mehroom,Mianwali District,Unknown,1887,1966,32.6644855,71.4774291,Punjab,,,
Amjad Hyderabadi,Hyderabad,Hyderabad,1888,1961,17.385044,78.486671,Telangana,17.385044,78.486671,Telangana
Jigar Moradabadi,Moradabad,"Gonda, Uttar Pradesh",1890,1960,28.8386481,78.7733286,Uttar Pradesh,27.1339874,81.96189790000001,Uttar Pradesh
Raaz Chandpuri,Bilgram,Unknown,1892,1969,27.1735384,80.0339312,Uttar Pradesh,,,
Hakim Ahmad Shuja,Lahore,Lahore,1893,1969,31.5203696,74.35874729999999,Punjab,31.5203696,74.35874729999999,Punjab
Firaq Gorakhpuri,Gorakhpur,New Delhi,1896,1982,26.7605545,83.3731675,Uttar Pradesh,28.6139391,77.2090212,Delhi
Abr Ahasani Gunnauri,Gunnaur,Gunnaur,1897,1973,28.2362323,78.4382469,Uttar Pradesh,28.2362323,78.4382469,Uttar Pradesh
